Max_Corr Dist [m],Range_Corr Dist [m],Min_Corr Speed [km/h],Max_Corr Speed [km/h],Avg_Corr Speed [km/h],Min_Fuel Pres [bar],Max_Fuel Pres [bar],Avg_Fuel Pres [bar],Min_Alias Eng Oil Pres [bar],Max_Alias Eng Oil Pres [bar],Avg_Alias Eng Oil Pres [bar],Min_Alias Eng Oil Temp [°C],Max_Alias Eng Oil Temp [°C],Avg_Alias Eng Oil Temp [°C],Min_Alias Engine Temp [°C],Max_Alias Engine Temp [°C],Avg_Alias Engine Temp [°C],Min_Air Temp Inlet [°C],Max_Air Temp Inlet [°C],Avg_Air Temp Inlet [°C],Min_Battery Voltage [V],Max_Battery Voltage [V],Avg_Battery Voltage [V],Min_Alias Engine RPM [rpm],Max_Alias Engine RPM [rpm],Avg_Alias Engine RPM [rpm],Min_Alias Lambda [LA],Max_Alias Lambda [LA],Avg_Alias Lambda [LA],Min_Susp Pos Variation FL [mm],Max_Susp Pos Variation FL [mm],Avg_Susp Pos Variation FL [mm],Min_Susp Pos Variation FR [mm],Max_Susp Pos Variation FR [mm],Avg_Susp Pos Variation FR [mm],Min_Susp Pos Variation RL [mm],Max_Susp Pos Variation RL [mm],Avg_Susp Pos Variation RL [mm],Min_Susp Pos Variation RR [mm],Max_Susp Pos Variation RR [mm],Avg_Susp Pos Variation RR [mm],Min_Alias Steering Wheel Angle [°],Max_Alias Steering Wheel Angle [°],Avg_Alias Steering Wheel Angle [°],Abs Max_Alias Steering Wheel Angle [°],Min_Alias Wheel Speed FL [km/h],Max_Alias Wheel Speed FL [km/h],Avg_Alias Wheel Speed FL [km/h],Min_Alias Wheel Speed FR [km/h],Max_Alias Wheel Speed FR [km/h],Avg_Alias Wheel Speed FR [km/h],Min_Alias Wheel Speed RR [km/h],Max_Alias Wheel Speed RR [km/h],Avg_Alias Wheel Speed RR [km/h],Min_Alias Wheel Speed RL [km/h],Max_Alias Wheel Speed RL [km/h],Avg_Alias Wheel Speed RL [km/h],Min_Brake Bias [%],Max_Brake Bias [%],Avg_Brake Bias [%],Min_Brake Bias Migration [%],Max_Brake Bias Migration [%],Avg_Brake Bias Migration [%],Min_Alias Brake Pres Front [MPa],Max_Alias Brake Pres Front [MPa],Avg_Alias Brake Pres Front [MPa],Min_Alias Brake Pres Rear [MPa],Max_Alias Brake Pres Rear [MPa],Avg_Alias Brake Pres Rear [MPa],Min_Brake Total Pressure [MPa],Max_Brake Total Pressure [MPa],Avg_Brake Total Pressure [MPa],Min_Alias Throttle Position [%],Max_Alias Throttle Position [%],Avg_Alias Throttle Position [%],Min_Vehicle Balance,Max_Vehicle Balance,Avg_Vehicle Balance,Avg_Brake Pressure Agression [MPa],Avg_Steering Agression KPI,Avg_Stability KPI,Avg_Trail - Braking,Abs Max_Brake Distance [m],Abs Max_Brake Pressure Integral [MPa],Abs Max_Calc Steered Angle,Avg_Coast Factor [%],Avg_Crossing [%],Min_Combined G Force [G],Max_Combined G Force [G],Avg_Combined G Force [G],Min_Grip Factor Brake [G],Max_Grip Factor Brake [G],Avg_Grip Factor Brake [G],Min_Grip Factor Cornering Aero [G],Max_Grip Factor Cornering Aero [G],Avg_Grip Factor Cornering Aero [G],Min_Grip Factor Cornering Mech [G],Max_Grip Factor Cornering Mech [G],Avg_Grip Factor Cornering Mech [G],Min_Grip Factor Overral [G],Max_Grip Factor Overral [G],Avg_Grip Factor Overral [G],Min_Grip Factor Traction [G],Max_Grip Factor Traction [G],Avg_Grip Factor Traction [G],Min_Inverse Corner Radius,Max_Inverse Corner Radius,Avg_Inverse Corner Radius,Min_Inverse Corner Radius Integral,Max_Inverse Corner Radius Integral,Avg_Inverse Corner Radius Integral,Avg_Pressure Rate Front [MPa/s],Abs Max_Pressure Rate Front [MPa/s],Avg_Pressure Rate Rear [MPa/s],Abs Max_Pressure Rate Rear [MPa/s],Min_Roll Dianteiro [°],Max_Roll Dianteiro [°],Min_Roll Traseiro [°],Max_Roll Traseiro [°],Min_Roll Avg [°],Max_Roll Avg [°],Avg_Oversteer (Speed Weighted) [°],Min_Steering Integral  [°],Max_Steering Integral  [°],Avg_Steering Integral  [°],Min_Alias Wheel Load FL [kgf],Max_Alias Wheel Load FL [kgf],Avg_Alias Wheel Load FL [kgf],Min_Alias Wheel Load FR [kgf],Max_Alias Wheel Load FR [kgf],Avg_Alias Wheel Load FR [kgf],Min_Alias Wheel Load RL [kgf],Max_Alias Wheel Load RL [kgf],Avg_Alias Wheel Load RL [kgf],Min_Alias Wheel Load RR [kgf],Max_Alias Wheel Load RR [kgf],Avg_Alias Wheel Load RR [kgf],Min_Wheel Locked FL,Max_Wheel Locked FL,Avg_Wheel Locked FL,Min_Wheel Locked FR,Max_Wheel Locked FR,Avg_Wheel Locked FR,Min_Wheel Locked RL,Max_Wheel Locked RL,Avg_Wheel Locked RL,Min_Wheel Locked RR,Max_Wheel Locked RR,Avg_Wheel Locked RR,Min_Damper Vel FL [mm/s],Max_Damper Vel FL [mm/s],Avg_Damper Vel FL [mm/s],Min_Damper Vel FR [mm/s],Max_Damper Vel FR [mm/s],Avg_Damper Vel FR [mm/s],Min_Damper Vel RL [mm/s],Max_Damper Vel RL [mm/s],Avg_Damper Vel RL [mm/s],Min_Damper Vel RR [mm/s],Max_Damper Vel RR [mm/s],Avg_Damper Vel RR [mm/s],Min_Damper Vibration FL  [mm],Max_Damper Vibration FL  [mm],Avg_Damper Vibration FL  [mm],Min_Damper Vibration FR   [mm],Max_Damper Vibration FR   [mm],Avg_Damper Vibration FR   [mm],Min_Damper Vibration RL [mm],Max_Damper Vibration RL [mm],Avg_Damper Vibration RL [mm],Min_Damper Vibration RR [mm],Max_Damper Vibration RR [mm],Avg_Damper Vibration RR [mm],Max_Brake Bias Coefficient .R2,Min_Throttle Aggression [%],Max_Throttle Aggression [%],Avg_Throttle Aggression [%],Min_Brake G Force Long,Max_Brake G Force Long,Avg_Brake G Force Long,Min_G Force Lat [G],Max_G Force Lat [G],Avg_G Force Lat [G],Min_G Force Long [G],Max_G Force Long [G],Avg_G Force Long [G],Min_Brake Pressure Efficiency,Max_Brake Pressure Efficiency,Avg_Brake Pressure Efficiency,Min_Throttle Efficiency [%/G],Max_Throttle Efficiency [%/G],Avg_Throttle Efficiency [%/G],Avg_Brake Release Smoothness [MPa]
"0,00","0,00","0,0","0,0","0,0","4,3800","4,4300","4,4043","2,6900","2,8600","2,7792","65,300","65,300","65,300","69,600","69,600","69,600","19,0000","19,0000","19,0000","12,57","12,58","12,58","3154,0","3382,0","3267,0","0,0000","1,0100","0,9548","168,04","168,22","168,12","163,10","163,30","163,20","187,00","187,25","187,05","177,78","178,00","177,93","74,2200","75,2700","74,7755","75,2700",0,0,0,0,0,0,"0,000","0,000","0,000","0,0000","0,0000","0,0000","67,02","71,91","69,18","0,00","0,00","0,00","0,58000","0,66000","0,62505","0,25000","0,31000","0,27838","0,85","0,95","0,90","0,000","0,000","0,000","24,74","25,05","24,92",,"0,00",,"100,00","0,00","0,50","0,00","0,00","0,00","0,10","0,10","0,10",,,,,,,,,,,,,,,,"0,0000","0,0000","0,0000","0,00","0,00","0,00","-0,0545","8,0000","-0,0182","8,0000","0,4105","0,4283","0,7415","0,7653","0,5785","0,5900","0,00","0,00","0,00","0,00",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2,1","1,3","0,0","-1,0","1,4","-0,0","-0,6","1,7","0,0","-1,6","1,3","-0,0","0,01","0,08","0,05","0,00","0,05","0,02","0,00","0,02","0,01","0,02","0,15","0,05","0,028837",,,,"-0,09","-0,09","-0,09","-0,03","-0,02","-0,03","0,09","0,10","0,09",,,,,,,
"0,00","0,00","0,0","0,0","0,0","4,3900","4,4300","4,4133","2,5800","2,9200","2,7694","65,300","65,300","65,300","69,500","69,600","69,562","19,0000","19,0000","19,0000","12,56","12,61","12,58","2939,0","3486,0","3207,5","0,0000","1,0300","0,9395","-0,41","0,25","0,03","-0,25","0,10","-0,03","-0,12","0,19","0,04","-0,16","0,19","0,05","74,2800","75,2100","74,7670","75,2100",0,0,0,0,0,0,"0,000","0,000","0,000","0,0000","0,0000","0,0000","66,36","77,61","69,87","-70,86","-70,86","-70,86","0,17000","0,82000","0,36409","0,05000","0,36000","0,17403","0,23","1,16","0,54","0,000","0,000","0,000","0,00","0,17","0,02","2,96","6,40",,"0,00","0,00","0,89","0,00","67,88","0,00","0,09","0,11","0,10",,,,,,,,,,,,,,,,"0,0000","0,0000","0,0000","0,00","0,00","0,00","0,3040","8,0000","0,1216","6,0000","-0,0390","0,0222","-0,0205","0,0140","-0,0190","0,0139","0,00","0,00","0,00","0,00",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-3,8","2,3","-0,1","-2,9","2,1","0,0","-1,9","1,3","-0,1","-1,9","2,0","-0,1","0,00","0,45","0,05","0,00","0,19","0,04","0,00","0,12","0,03","0,00","0,16","0,04","0,957533",,,,"-0,10","-0,09","-0,09","-0,03","-0,02","-0,03","0,09","0,10","0,10",,,,,,,
"385,17","385,17","25,3","65,1","42,0","4,3900","4,5700","4,4781","0,2100","3,3500","2,3110","78,100","80,300","79,000","69,900","70,700","70,171","15,9000","18,2000","17,2759","8,58","14,49","14,44","4229,0","8833,0","6194,6","0,0000","6,0800","0,9936","185,66","199,10","190,92","178,30","191,41","185,07","200,93","216,63","207,91","189,30","208,44","200,86","74,4200","75,6700","75,0229","75,6700",0,0,0,0,0,0,"24,500","66,400","41,982","25,0000","65,1000","41,2094","58,48","77,39","68,70","-3,92","0,00","-2,94","0,09000","2,35000","0,30160","0,04000","1,65000","0,19170","0,14","3,98","0,49","0,000","100,000","37,972","11,44","25,20","19,96","4,41","6,70",,"13,00","53,88","16,47","59,43","4,64","1,50","0,02","1,67","0,90","0,50","1,22","0,82","0,63","1,67","1,23","0,60","1,35","1,03","0,40","1,67","0,94","0,40","1,30","0,88","-0,1548","0,1350","0,0001","-0,33","0,19","-0,05","0,0009","26,0000","-0,0009","28,0000","-0,4062","1,5778","-0,3474","1,4951","-0,1818","1,3391","-3,29","0,00","28896,59","14213,53",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,00","100,00","13,11","0,00","100,00","13,11","0,00","100,00","1,53","0,00","100,00","0,14","-80,1","72,9","0,1","-93,2","86,9","-0,1","-102,8","105,4","0,1","-93,8","73,8","-0,1","0,00","4,50","0,69","0,00","5,25","0,85","0,00","4,55","0,81","0,00","5,40","0,87","0,9424","25,17","839,17","120,45","-0,03","0,72","0,39","-1,63","1,31","-0,05","-0,75","0,74","0,16","-24,87","-16,41","-20,58","0,24","5,00","0,73","13,08"
"484,31","484,31","5,6","79,1","36,6","4,3900","4,5500","4,4711","0,2400","3,4000","2,4617","80,300","82,800","81,689","70,700","71,500","71,162","16,3000","18,3000","17,5932","14,39","14,52","14,47","2853,0","9197,0","5173,5","0,0000","8,6400","1,0934","186,17","197,29","191,24","178,64","191,81","185,60","200,75","216,10","208,12","185,73","207,84","201,49","74,4200","75,6700","75,0305","75,6700",0,0,0,0,0,0,"5,200","80,100","36,464","5,3000","79,3000","35,2262","57,87","79,69","68,68","-75,63","5,12","-36,90","0,06000","2,88000","0,32059","0,06000","1,94000","0,19905","0,16","4,82","0,52","0,000","100,000","26,456","10,38","25,20","23,26","5,00","6,65",,"19,38","78,66","24,96","63,97","31,66","1,71","0,00","1,65","0,49","0,51","1,24","0,89","0,70","1,65","1,16","0,61","1,44","0,98","0,40","1,65","0,84","0,41","1,50","0,86","-0,1666","0,1253","-0,0006","-0,12","0,16","-0,01","0,0042","42,0000","0,0006","30,0000","-0,2788","1,4360","-0,2332","1,6904","-0,2358","1,4155","-2,50","0,00","36336,71","20872,55",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,00","100,00","19,20","0,00","100,00","19,20","0,00","100,00","2,30","0,00","100,00","0,50","-72,4","64,3","-0,1","-98,5","86,9","0,1","-84,3","62,2","-0,1","-81,4","99,8","0,1","0,00","3,24","0,46","0,00","4,98","0,52","0,00","4,22","0,52","0,00","5,68","0,55","0,928302","25,09","1302,86","202,15","-0,22","0,82","0,25","-1,64","1,28","-0,03","-0,85","0,83","0,10","-96,37","-13,78","-25,51","0,28","6,87","0,94","12,84"
"2,93","2,93","0,0","15,4","0,0","4,4500","4,5600","4,5092","1,9000","3,5000","2,6511","41,700","81,400","65,795","66,500","86,800","80,837","9,1000","14,3000","11,6582","12,85","13,69","13,40","2459,0","8993,0","3315,5","0,0000","7,9500","0,8891","-0,80","0,98","-0,00","-0,40","0,88","-0,00","-0,26","0,43","-0,00","-0,88","0,37","0,00","74,2200","75,6700","74,9206","75,6700",0,0,0,0,0,0,"0,000","16,200","0,018","0,0000","0,0000","0,0000",,,,,,,"0,12000","0,28000","0,19575","0,02000","0,21000","0,11367","0,19","0,44","0,31","0,000","47,800","0,608","0,00","0,25","0,02",,"6,43",,"0,00","0,00","225,99","0,00","93,79","0,00","0,01","0,38","0,07",,,,,,,,,,,,,,,,"0,0000","0,0000","0,0000","0,00","0,00","0,00","0,0000","22,0000","-0,0000","26,0000","-0,1280","0,0394","-0,0438","0,1008","-0,0250","0,0282","0,00","0,00","0,21","0,14",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-3,6","2,7","0,0","-3,4","2,7","-0,0","-2,5","2,3","-0,0","-2,5","2,6","0,0","0,00","0,27","0,03","0,00","0,33","0,03","0,00","0,22","0,02","0,00","0,26","0,02","0,0113379","30,18","306,05","152,64",,,,"-0,11","0,10","-0,01","-0,09","0,37","0,07",,,,"0,45","4,43","1,85",
"437,02","437,02","0,0","72,2","23,4","0,1100","4,5500","2,5104","0,0900","3,6600","1,8276","65,900","68,200","66,587","69,300","71,800","70,770","15,0000","17,7000","16,7660","13,45","14,52","14,13","0,0","8795,0","3655,4","0,0000","9,6100","1,2327","-7,79","4,74","0,23","-6,89","5,04","-0,30","-7,04","6,88","0,30","-6,43","6,06","0,52","74,3500","75,6000","74,9442","75,6000",0,0,0,0,0,0,"0,000","74,000","23,196","0,0000","72,4000","23,0785","60,00","76,92","66,45","-6,65","0,00","-5,28","0,10000","1,72000","0,27357","0,05000","0,95000","0,18747","0,17","2,65","0,46","0,000","100,000","17,669","-14,94","0,22","-1,23","3,33","6,56",,"0,00","73,75","31,27","65,50","38,31","1,47","0,00","1,27","0,38","0,51","0,77","0,65","0,71","1,23","1,06","0,60","1,27","0,89","0,40","1,27","0,73","0,40","1,07","0,63","-0,1706","0,1404","-0,0004","-0,11","0,29","0,02","0,0001","20,0000","0,0003","20,0000","-0,8176","0,8473","-0,8453","0,7380","-0,6555","0,6716","0,56","0,00","30,92","22,26",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,00","100,00","10,11","0,00","100,00","10,11","0,00","100,00","0,84","0,00","100,00","0,93","-54,7","75,0","0,0","-64,9","68,9","0,0","-71,7","67,5","-0,0","-126,5","73,6","-0,0","0,00","4,73","0,32","0,00","3,86","0,37","0,00","4,23","0,38","0,00","5,70","0,34","0,959618","25,03","679,51","126,21","-0,12","0,74","0,12","-1,24","1,27","-0,07","-0,77","0,79","0,10","-38,96","-25,77","-29,62","0,33","7,20","0,89","6,08"
"572,20","572,20","1,8","53,8","26,9","4,3400","4,5000","4,4262","0,1800","3,6200","2,5099","70,900","74,600","72,689","74,400","82,800","79,569","12,5000","15,6000","14,2123","12,61","12,81","12,71","2548,0","8977,0","5273,7","0,0000","10,0000","1,2157","187,64","196,63","192,44","178,55","189,34","184,60","199,38","211,87","207,19","196,32","206,17","202,39","74,2200","75,5400","74,8486","75,5400",0,0,0,0,0,0,"0,000","54,700","26,683","0,0000","54,0000","26,0030","52,40","82,11","67,03","-75,93","1,60","-26,18","0,10000","2,55000","0,38989","0,04000","1,73000","0,21716","0,19","4,25","0,61","0,000","100,000","20,059","12,61","25,18","24,06","4,10","6,90",,"22,77","142,71","46,88","54,09","14,88","4,20","0,00","1,08","0,50","0,50","1,01","0,63",,,,"0,60","1,08","0,77","0,40","1,08","0,62","0,40","0,92","0,62","-0,0843","0,1408","0,0070","-0,00","0,54","0,13","0,0019","26,0000","0,0013","22,0000","0,0093","1,5124","-0,3950","1,1159","0,0281","1,0638","-0,41","0,00","42828,48","20453,83",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,00","100,00","21,16","0,00","100,00","21,16","0,00","100,00","1,07","0,00","100,00","0,08","-46,0","46,3","0,0","-56,2","66,7","0,0","-62,2","59,2","-0,0","-49,6","49,6","0,0","0,00","2,43","0,36","0,00","2,81","0,38","0,00","4,75","0,39","0,00","2,46","0,33","0,944581","25,03","853,90","94,50","-0,36","0,65","0,26","-0,88","1,03","0,16","-0,68","0,81","0,09","-42,70","-12,13","-19,94","0,46","8,75","0,93","7,02"
